#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X0;bob;X1,anbxj.AnBx_Params
1,0,charlie,alice,sent,@36d64342,javax.crypto.SealedObject
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,charlie,received,@36d64342,javax.crypto.SealedObject
1,0,alice,-,inv_check,@c2e1f26,javax.crypto.SealedObject.toString
1,1,alice,bob,sent,@c2e1f26,javax.crypto.SealedObject
1,1,bob,alice,received,@c2e1f26,javax.crypto.SealedObject
1,1,bob,-,AnBx_Params,X0;bob;X1,anbxj.AnBx_Params
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,2,bob,-,generateNumberText3,X2,anbxj.Crypto_ByteArray
1,2,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X3;charlie;X2,anbxj.AnBx_Params
1,2,bob,alice,sent,@6a5fc7f7,javax.crypto.SealedObject
1,2,alice,bob,received,@6a5fc7f7,javax.crypto.SealedObject
1,2,alice,-,inv_check,@4141d797,javax.crypto.SealedObject.toString
1,3,alice,charlie,sent,@4141d797,javax.crypto.SealedObject
1,3,charlie,alice,received,@4141d797,javax.crypto.SealedObject
1,3,charlie,-,AnBx_Params,X3;charlie;X2,anbxj.AnBx_Params
1,3,charlie,-,eq_check,charlie,java.lang.String.toString
1,3,charlie,-,AnBx_Params,X3;charlie;X2,anbxj.AnBx_Params
1,3,charlie,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
2,0,charlie,-,generateNumber,X4,anbxj.Crypto_ByteArray
2,0,charlie,-,generateNumber,X5,anbxj.Crypto_ByteArray
2,0,charlie,-,AnBx_Params,X4;bob;X5,anbxj.AnBx_Params
2,0,charlie,alice,sent,@6aaa5eb0,javax.crypto.SealedObject
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,charlie,received,@6aaa5eb0,javax.crypto.SealedObject
2,0,alice,-,inv_check,@5679c6c6,javax.crypto.SealedObject.toString
2,1,alice,bob,sent,@5679c6c6,javax.crypto.SealedObject
2,1,bob,alice,received,@5679c6c6,javax.crypto.SealedObject
2,1,bob,-,AnBx_Params,X4;bob;X5,anbxj.AnBx_Params
2,1,bob,-,eq_check,bob,java.lang.String.toString
2,2,bob,-,generateNumberText3,X6,anbxj.Crypto_ByteArray
2,2,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,2,bob,-,AnBx_Params,X7;charlie;X6,anbxj.AnBx_Params
2,2,bob,alice,sent,@5b464ce8,javax.crypto.SealedObject
2,2,alice,bob,received,@5b464ce8,javax.crypto.SealedObject
2,2,alice,-,inv_check,@7cef4e59,javax.crypto.SealedObject.toString
2,3,alice,charlie,sent,@4141d797,javax.crypto.SealedObject
2,3,charlie,alice,received,@4141d797,javax.crypto.SealedObject
2,3,charlie,-,AnBx_Params,X3;charlie;X2,anbxj.AnBx_Params
2,3,charlie,-,eq_check,charlie,java.lang.String.toString
2,3,charlie,-,AnBx_Params,X3;charlie;X2,anbxj.AnBx_Params
2,3,charlie,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
3,0,charlie,-,eq_check,charlie!,java.lang.String.toString
3,0,charlie,-,generateNumber,X8,anbxj.Crypto_ByteArray
3,0,charlie,-,generateNumber,X9,anbxj.Crypto_ByteArray
3,0,charlie,-,AnBx_Params,X8;bob;X9,anbxj.AnBx_Params
3,0,charlie,alice,sent,@7a5d012c,javax.crypto.SealedObject
3,0,alice,-,eq_check,alice!,java.lang.String.toString
3,0,alice,-,eq_check,alice!,java.lang.String.toString
3,0,alice,charlie,received,@7a5d012c,javax.crypto.SealedObject
3,0,alice,-,inv_check,@64b8f8f4,javax.crypto.SealedObject.toString
3,1,alice,bob,sent,@64b8f8f4,javax.crypto.SealedObject
3,1,bob,alice,received,@64b8f8f4,javax.crypto.SealedObject
3,1,bob,-,AnBx_Params,X8;bob;X9,anbxj.AnBx_Params
3,1,bob,-,eq_check,bob,java.lang.String.toString
3,2,bob,-,generateNumberText3,X10,anbxj.Crypto_ByteArray
3,2,bob,-,generateNumber,X11,anbxj.Crypto_ByteArray
3,2,bob,-,AnBx_Params,X11;charlie;X10,anbxj.AnBx_Params
3,2,bob,alice,sent,@17f6480,javax.crypto.SealedObject
3,2,alice,bob,received,@17f6480,javax.crypto.SealedObject
3,2,alice,-,inv_check,@3a4afd8d,javax.crypto.SealedObject.toString
3,3,alice,charlie,sent,@3a4afd8d,javax.crypto.SealedObject
3,3,charlie,alice,received,@3a4afd8d,javax.crypto.SealedObject
3,3,charlie,-,AnBx_Params,X11;charlie;X10,anbxj.AnBx_Params
3,3,charlie,-,eq_check,charlie,java.lang.String.toString
3,3,charlie,-,AnBx_Params,X11;charlie;X10,anbxj.AnBx_Params
3,3,charlie,-,inv_check,X10,anbxj.Crypto_ByteArray.toString
4,0,charlie,-,eq_check,charlie!,java.lang.String.toString
4,0,charlie,-,generateNumber,X12,anbxj.Crypto_ByteArray
4,0,charlie,-,generateNumber,X13,anbxj.Crypto_ByteArray
4,0,charlie,-,AnBx_Params,X12;bob;X13,anbxj.AnBx_Params
4,0,charlie,alice,sent,@13fee20c,javax.crypto.SealedObject
4,0,alice,-,eq_check,alice!,java.lang.String.toString
4,0,alice,-,eq_check,alice!,java.lang.String.toString
4,0,alice,charlie,received,@13fee20c,javax.crypto.SealedObject
4,0,alice,-,inv_check,@555590,javax.crypto.SealedObject.toString
4,1,alice,bob,sent,@555590,javax.crypto.SealedObject
4,1,bob,alice,received,@555590,javax.crypto.SealedObject
4,1,bob,-,AnBx_Params,X12;bob;X13,anbxj.AnBx_Params
4,1,bob,-,eq_check,bob,java.lang.String.toString
4,2,bob,-,generateNumberText3,X14,anbxj.Crypto_ByteArray
4,2,bob,-,generateNumber,X15,anbxj.Crypto_ByteArray
4,2,bob,-,AnBx_Params,X15;charlie;X14,anbxj.AnBx_Params
4,2,bob,alice,sent,@2f7a2457,javax.crypto.SealedObject
4,2,alice,bob,received,@2f7a2457,javax.crypto.SealedObject
4,2,alice,-,inv_check,@3c679bde,javax.crypto.SealedObject.toString
4,3,alice,charlie,sent,@3c679bde,javax.crypto.SealedObject
4,3,charlie,alice,received,@3c679bde,javax.crypto.SealedObject
4,3,charlie,-,AnBx_Params,X15;charlie;X14,anbxj.AnBx_Params
4,3,charlie,-,eq_check,charlie,java.lang.String.toString
4,3,charlie,-,AnBx_Params,X15;charlie;X14,anbxj.AnBx_Params
4,3,charlie,-,inv_check,X14,anbxj.Crypto_ByteArray.toString
5,0,charlie,-,eq_check,charlie!,java.lang.String.toString
5,0,charlie,-,generateNumber,X16,anbxj.Crypto_ByteArray
5,0,charlie,-,generateNumber,X17,anbxj.Crypto_ByteArray
5,0,charlie,-,AnBx_Params,X16;bob;X17,anbxj.AnBx_Params
5,0,charlie,alice,sent,@5315b42e,javax.crypto.SealedObject
5,0,alice,-,eq_check,alice!,java.lang.String.toString
5,0,alice,-,eq_check,alice!,java.lang.String.toString
5,0,alice,charlie,received,@5315b42e,javax.crypto.SealedObject
5,0,alice,-,inv_check,@2a3046da,javax.crypto.SealedObject.toString
5,1,alice,bob,sent,@2a3046da,javax.crypto.SealedObject
5,1,bob,alice,received,@2a3046da,javax.crypto.SealedObject
5,1,bob,-,AnBx_Params,X16;bob;X17,anbxj.AnBx_Params
5,1,bob,-,eq_check,bob,java.lang.String.toString
5,2,bob,-,generateNumberText3,X18,anbxj.Crypto_ByteArray
5,2,bob,-,generateNumber,X19,anbxj.Crypto_ByteArray
5,2,bob,-,AnBx_Params,X19;charlie;X18,anbxj.AnBx_Params
5,2,bob,alice,sent,@1a407d53,javax.crypto.SealedObject
5,2,alice,bob,received,@1a407d53,javax.crypto.SealedObject
5,2,alice,-,inv_check,@12f40c25,javax.crypto.SealedObject.toString
5,3,alice,charlie,sent,@3c679bde,javax.crypto.SealedObject
5,3,charlie,alice,received,@3c679bde,javax.crypto.SealedObject
