#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,bob,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,bob,-,AnBx_Params,bob;alice;X0,anbxj.AnBx_Params
1,0,bob,alice,sent,bob;alice;X0,string
1,0,alice,bob,received,bob;alice;X0,string
1,0,alice,-,eq_check,bob,java.lang.String.toString
1,1,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,bob;bob;X1,anbxj.AnBx_Params
1,1,alice,bob,sent,bob;bob;X1,string
1,1,bob,alice,received,bob;bob;X1,string
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,bob;charlie;bob;X2;X1,anbxj.AnBx_Params
1,2,bob,alice,sent,bob;charlie;bob;X2;X1,string
1,2,alice,bob,received,bob;charlie;bob;X2;X1,string
1,2,alice,-,eq_check,bob,java.lang.String.toString
1,2,alice,-,eq_check,bob,java.lang.String.toString
1,2,alice,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
1,2,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,3,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,3,alice,-,AnBx_Params,bob;charlie;alice;X3;X0,anbxj.AnBx_Params
1,3,alice,bob,sent,bob;charlie;alice;X3;X0,string
1,3,bob,alice,received,bob;charlie;alice;X3;X0,string
1,3,bob,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,3,bob,-,eq_check,bob,java.lang.String.toString
1,3,bob,-,eq_check,alice,java.lang.String.toString
1,3,bob,-,eq_check,charlie,java.lang.String.toString
1,3,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,bob,-,AnBx_Params,bob;charlie;alice;X3;X0,anbxj.AnBx_Params
1,4,bob,alice,sent,@5db45159;@6156496,javax.crypto.SealedObject
1,4,alice,bob,received,@5db45159;@6156496,javax.crypto.SealedObject
1,4,alice,-,inv_check,@3ec300f1;@482cd91f,anbxj.Crypto_SealedPair.toString
1,4,alice,-,inv_check,charlie,java.lang.String.toString
1,5,alice,charlie,sent,@3ec300f1;@482cd91f,javax.crypto.SealedObject
1,5,charlie,alice,received,@3ec300f1;@482cd91f,javax.crypto.SealedObject
1,5,charlie,-,eq_check,bob,java.lang.String.toString
1,5,charlie,-,eq_check,charlie,java.lang.String.toString
1,6,charlie,-,AnBx_Params,bob;charlie,anbxj.AnBx_Params
1,6,charlie,-,AnBx_Params,@675d3402;X0,anbxj.AnBx_Params
1,6,charlie,alice,sent,@523884b2;@59fa1d9b,javax.crypto.SealedObject
1,6,alice,charlie,received,@523884b2;@59fa1d9b,javax.crypto.SealedObject
1,6,alice,-,inv_check,@5af97850;@5ef60048,anbxj.Crypto_SealedPair.toString
1,7,alice,bob,sent,@5af97850;@5ef60048,javax.crypto.SealedObject
1,7,bob,alice,received,@5af97850;@5ef60048,javax.crypto.SealedObject
1,7,bob,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,7,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,7,bob,-,AnBx_Params,bob;charlie,anbxj.AnBx_Params
1,7,bob,-,eq_check,bob,java.lang.String.toString
1,7,bob,-,eq_check,charlie,java.lang.String.toString
1,7,bob,-,eq_check,bob;charlie,anbxj.AnBx_Params.toString
1,8,bob,-,AnBx_Params,@7ff95560;X0,anbxj.AnBx_Params
1,8,bob,alice,sent,@7ff95560;X0,java.security.SignedObject
1,8,alice,bob,received,@7ff95560;X0,java.security.SignedObject
1,8,alice,-,eq_check,bob,java.lang.String.toString
1,8,alice,-,eq_check,charlie,java.lang.String.toString
1,8,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,9,alice,-,AnBx_Params,@48524010;X1,anbxj.AnBx_Params
1,9,alice,bob,sent,@48524010;X1,java.security.SignedObject
1,9,bob,alice,received,@48524010;X1,java.security.SignedObject
1,9,bob,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
1,9,bob,-,AnBx_Params,bob;charlie,anbxj.AnBx_Params
1,9,bob,-,eq_check,bob,java.lang.String.toString
1,9,bob,-,eq_check,charlie,java.lang.String.toString
1,9,bob,-,eq_check,bob;charlie,anbxj.AnBx_Params.toString
1,10,bob,-,generateNumberData,X4,anbxj.Crypto_ByteArray
1,10,bob,alice,sent,X4,string
1,10,alice,bob,received,X4,string
1,10,alice,-,inv_check,X4,anbxj.Crypto_ByteArray.toString
